Model,i@1,i@5,o@1,o@5,link
phi-1,13.1,21.1,21.7,32.0,https://huggingface.co/microsoft/phi-1
phi-1.5,23.2,37.7,27.5,39.1,https://huggingface.co/microsoft/phi-1_5
deepseek-instruct-1.3b,27.2,40.1,28.7,40.0,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct
deepseek-base-1.3b,27.8,44.7,31.0,43.4,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base
starcoderbase-7b,29.7,47.3,32.2,44.9,https://huggingface.co/bigcode/starcoderbase-7b
starcoderbase-16b,31.3,49.2,34.2,47.1,https://huggingface.co/bigcode/starcoderbase
phi-2,31.6,51.1,33.5,46.6,https://huggingface.co/microsoft/phi-2
mistral-7b,35.0,52.3,34.3,48.6,https://huggingface.co/mistralai/Mistral-7B-v0.1
codellama-7b,35.9,52.9,34.2,48.4,https://huggingface.co/codellama/CodeLlama-7b-hf
wizard-13b,36.5,51.6,41.3,52.4,https://huggingface.co/WizardLM/WizardCoder-Python-13B-V1.0
codellama-python-7b,37.3,57.0,35.9,48.8,https://huggingface.co/codellama/CodeLlama-7b-Python-hf
deepseek-instruct-6.7b,37.4,53.3,41.2,52.8,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct
mixtral-8x7b,39.3,59.1,40.5,54.0,https://huggingface.co/mistralai/Mixtral-8x7B-v0.1
codellama-python-13b,39.7,56.9,39.8,52.5,https://huggingface.co/codellama/CodeLlama-13b-Python-hf
codellama-7b+cot,40.4,62.8,29.9,55.4,https://huggingface.co/codellama/CodeLlama-7b-hf
magicoder-ds-6.7b,41.7,62.4,44.4,57.5,https://huggingface.co/ise-uiuc/Magicoder-S-DS-6.7B
deepseek-base-6.7b,41.9,62.7,43.5,54.8,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-base
codellama-13b,42.5,62.0,39.7,53.9,https://huggingface.co/codellama/CodeLlama-13b-hf
wizard-34b,42.7,57.5,43.4,53.8,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0
codellama-python-34b,43.9,59.5,41.4,52.9,https://huggingface.co/codellama/CodeLlama-34b-Python-hf
deepseek-base-33b,46.5,64.9,48.6,61.6,https://huggingface.co/deepseek-ai/deepseek-coder-33b-base
deepseek-instruct-33b,46.5,63.2,49.9,61.8,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct
codellama-34b,47.2,66.6,42.4,55.9,https://huggingface.co/codellama/CodeLlama-34b-hf
phind,47.2,63.9,39.7,52.8,https://huggingface.co/Phind/Phind-CodeLlama-34B-v2
codellama-13b+cot,47.4,68.4,36.0,61.8,https://huggingface.co/codellama/CodeLlama-13b-hf
gpt-3.5-turbo-0613,49.0,63.2,49.4,59.3,https://platform.openai.com/docs/models
codetulu-2-34b,49.3,68.0,45.8,58.9,https://huggingface.co/allenai/codetulu-2-34b
codellama-34b+cot,50.1,73.8,43.6,69.4,https://huggingface.co/codellama/CodeLlama-34b-hf
gpt-3.5-turbo-0613+cot,50.3,74.9,59.0,76.7,https://platform.openai.com/docs/models
gpt-4-0613,69.8,76.8,68.7,73.0,https://platform.openai.com/docs/models
gpt-4-0613+cot,75.5,88.9,77.1,88.2,https://platform.openai.com/docs/models
gpt-4-turbo-2024-04-09+cot (n=3),75.7,-,82.0,-,https://platform.openai.com/docs/models
gpt-4-turbo-2024-04-09 (n=3),68.5,-,67.7,-,https://platform.openai.com/docs/models
starcoder2-3b,32.7,50.1,34.2,48.4,https://huggingface.co/bigcode/starcoder2-3b
starcoder2-7b,34.6,53.5,36.0,52.0,https://huggingface.co/bigcode/starcoder2-7b
starcoder2-15b,48.1,66.9,47.1,59.5,https://huggingface.co/bigcode/starcoder2-15b
stablecode-3b,33.5,53.3,26.7,43.5,https://huggingface.co/stabilityai/stable-code-3b
